smiles,IC50,mol_weight,bioactivity_class
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.5,525.9720000000001,1
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,40.0,525.9720000000001,1
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,2050.0,525.9720000000001,0
CN(c1ccccc1)c1ncnc2ccc(N)cc12,8400.0,250.30499999999998,0
COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O,1100000.0,233.22299999999998,0
N#CC(C#N)=Cc1ccc(O)cc1,560000.0,170.171,0
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(N3CCCCC3)c21,20000.0,422.48900000000026,0
N#CC(C#N)Cc1ccc(O)cc1,6500000.0,172.187,0
COc1ccc(C=C(C#N)C#N)cc1,1250000.0,184.19799999999998,0
CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,13.0,509.97300000000024,1
CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,200.0,509.97300000000024,1
CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,7500.0,509.97300000000024,0
N#C/C(=C\c1ccc(O)cc1)C(N)=O,800000.0,188.18599999999998,0
N#CC(C#N)=Cc1ccc(C=O)cc1,60000.0,182.182,0
N#CC(C#N)=Cc1cc(O)cc(O)c1,37000.0,186.17,0
COc1ccc(/C=C(\C#N)C(=O)O)cc1,833000.0,203.19699999999997,0
Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,29.0,413.7960000000001,1
Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,5000.0,413.7960000000001,0
Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,50000.0,413.7960000000001,0
COc1cc(/C=C(\C#N)C(=O)O)ccc1O,325000.0,219.196,0
COc1cc(C=C(C#N)C#N)cc(O)c1O,6000.0,216.196,0
Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,200.0,270.72300000000007,1
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,44.0,315.17400000000004,1
COc1ccc(C(O)=C(C#N)C#N)cc1,450000.0,200.197,0
N#C/C(=C/c1cc(O)ccc1O)C(=O)O,75000.0,205.16899999999998,0
Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,4.7,441.8500000000001,1
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,1.8,560.6180000000002,1
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,100.0,560.6180000000002,1
N#CC(C#N)=Cc1ccc(NC(=O)CCC(=O)O)cc1,640000.0,269.25999999999993,0
N#CC(C#N)=NNc1ccc(O)cc1,225000.0,186.174,0
N#CC(C#N)=Cc1ccc2c(c1)OCO2,350000.0,198.18099999999995,0
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,11.0,371.242,1
CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,55000.0,300.402,0
COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,1200.0,282.259,0
N#CC(C#N)=Cc1ccc(/C=C/C(=O)O)cc1,450000.0,224.219,0
Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,2.8,495.9460000000001,1
Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,100.0,495.9460000000001,1
Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,750.0,495.9460000000001,1
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,18.0,497.5590000000004,1
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,40.0,497.5590000000004,1
